Question,Choices,Answer,Question Type,Domain,Category,Language,The Count of Category,Type
What is the traditional men’s clothing in Northern Saudi Arabia?,A. Al-Sidriyah and Thobe B. Al-Marodn C. Al-Dishdashah D. Al-Mufrij,A,MCQ single-choice,Common,Clothes,English,,
What is the traditional women’s clothing in Northern Saudi Arabia?,A. Al-Sharsh and Al-Madraqah B. Al-Abayah C. Al-Thuraya D. Al-Nashl,A,MCQ single-choice,Common,Clothes,English,,
What is the traditional musical style common in Northern Saudi Arabia?,A. Al-Rababah B. Al-Samri C. Al-Mawal D. Al-Dhahha,A,MCQ single-choice,Common,Entertainment,English,,
What are the traditional dances common in Northern Saudi Arabia?,A. Al-Dhahha B. Al-Samri C. Al-Ardah D. Al-Rababah,A and B,MCQ multi-choice,Common,Entertainment,English,,
What is the traditional dish for breakfast on Eid Al-Fitr in Northern Saudi Arabia?,A. Hamisat Al-Lahm Wal-Kibdah B. Al-Jareesh C. Al-Marqooq D. Al-Qursan,A,MCQ single-choice,Common,Celebration,English,,
What are the traditional crafts common in Northern Saudi Arabia?,A. Olive Pressing B. Traditional Toolmaking C. Embroidery and Tailoring D. Honey Production,C,MCQ single-choice,Common,Crafts and Work,English,,
What are the items a bride buys for her wedding in Northern Saudi Arabia?,A. Al-Jihaz B. Al-Zeena C. Henna D. Gold,A,MCQ single-choice,Common,Dating,English,,
What is the average dowry given to a bride in Northern Saudi Arabia?,"A. 30,000 SAR B. 40,000 SAR C. 50,000 SAR D. 60,000 SAR",C,MCQ single-choice,Common,Dating,English,,
What are some traditional meals associated with Eid Al-Adha in Northern Saudi Arabia?,A. Mansaf B. Kabsa C. Haneeth D. Mufatah,A. Mansaf,MCQ single-choice,Specialized,Food,English,,
What are the most common greetings in Northern Saudi Arabia?,A. Yallah Haywah B. Arhabu C. Marhaba Alf D. Ahlan Wa Sahlan,A. Yallah Haywah,MCQ single-choice,Specialized,Languages and Communication,English,,
What is the name of the night before Eid in the Northern region of Saudi Arabia?,A. Laylat Al-Henna B. Laylat Al-Khidhab C. Al-Mabruka D. Laylat Al-Zeena,B. Laylat Al-Khidhab,MCQ single-choice,Specialized,Dating,English,,
"Where is the traditional game ""Al-Fashaq"" popular in Saudi Arabia?",A. Northern Saudi Arabia B. Eastern Saudi Arabia C. Western Saudi Arabia D. Southern Saudi Arabia,A. Northern Saudi Arabia,MCQ single-choice,Specialized,Entertainment,English,,
What is the Saudi traditional game similar to bowling?,A. Al-Fashaq B. Al-Bakkoura C. Taq Taqiyyah D. Sabaa Al-Hajar,A. Al-Fashaq,MCQ single-choice,Specialized,Entertainment,English,,
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",A. Northern Saudi Arabia B. Central Saudi Arabia C. Eastern Saudi Arabia D. Western Saudi Arabia,A. Northern Saudi Arabia,MCQ single-choice,Specialized,Entertainment,English,,
"When is the game ""Adheem Lah Wayn Gada Wayn Rah"" played in Northern Saudi Arabia?",A. During full moon nights B. During Eid celebrations C. During weddings D. During winter evenings,A. During full moon nights,MCQ single-choice,Specialized,Entertainment,English,,
What does placing your hand over a coffee cup mean in Northern Saudi culture?,A. Request for more coffee B. Refusal of more coffee C. Thanking the host D. Starting a conversation,B. Refusal of more coffee,MCQ single-choice,Specialized,Food,English,,
What is the typical amount of coffee served to guests in Northern Saudi Arabia?,A. Quarter of the cup B. One-third of the cup C. Half of the cup D. Full cup,B. One-third of the cup,MCQ single-choice,Specialized,Food,English,,
What are the unique hospitality traditions in Northern Saudi Arabia?,"A. Dates are served first, then coffee is poured after finishing the dates. B. Coffee is served first, then dates after drinking the coffee. C. Coffee and dates are served together. D. Only dates are served without coffee during visits.","A. Dates are served first, then coffee is poured after finishing the dates.",MCQ single-choice,Specialized,Food,English,,
Is it acceptable for the host to eat with the guests in Northern Saudi hospitality?,"A. Yes, the host always eats with the guests. B. No, the host does not eat with the guests when serving food. C. The host eats only with close friends or family members. D. It depends on the occasion and the guest’s preference.","B. No, the host does not eat with the guests when serving food.",MCQ single-choice,Specialized,Food,English,,
What architectural planning system does traditional architecture in Al-Jouf rely on?,A. Linear architectural planning B. Modular architectural design C. Integrated architectural composition D. Open courtyard planning,A,MCQ single-choice,Specialized,Architecture,English,,
"What happens during ""Al-Shabbat"" in Northern Saudi Arabia?","A. A person opens their home after Asr, Maghrib, or Isha prayer. B. Guests are served traditional meals like Jareesh and Hamees. C. Coffee, tea, and desserts are served. D. Neighbors and friends gather to socialize.","A, B, C, and D",MCQ multi-choice,Specialized,Entertainment,English,,
"What is ""Khashrat Al-Eid"" in Hail, and how is it celebrated?","A. Preparing competition games for children. B. A gathering of women and children in one home. C. Enjoying light traditional foods, sweets, and nuts. D. A festive event held in mosques.","A, B, and C",MCQ multi-choice,Specialized,Entertainment,English,,
"What is a common dish served in Hail during Eid, showcasing housewives’ cooking skills?",A. Kabsa decorated with truffles and vegetables. B. Jareesh. C. Lamb Mandi. D. Qursan.,A,MCQ single-choice,Specialized,Food,English,,
How do families in Hail ensure everyone in the neighborhood tastes each other’s food during Eid breakfast?,A. By inviting all neighbors to one central home. B. By delivering food to each home. C. By sharing meals with travelers and passersby. D. By rotating between plates and tables.,D,MCQ single-choice,Specialized,Food,English,,
What are common gathering places in Northern Saudi Arabia?,A. Roshan B. Majlis C. Qahwa D. Shabbah,B and C,MCQ multi-choice,Specialized,Food,English,,
