Question,Choices,Answer,Question Type,Domain,Category,Language,The Count of Category,Type
What are the appropriate days to visit parents in Saudi culture?,–,Any day,Open-ended,Common,celebration,English,,
What are the appropriate days to visit family and friends in Saudi Arabia?,–,Weekends,Open-ended,Common,celebration,English,,
What are the main cities Saudis travel to in the summer?,–,"Riyadh, Jeddah, Makkah, Madinah, Abha, Khobar",Open-ended,Common,celebration,English,,
What is the most popular traditional medicine in Saudi Arabia?,–,Cauterization,Open-ended,Common,Crafts and work,English,,
What illness is commonly treated using cauterization?,–,Stroke,Open-ended,Common,Crafts and work,English,,
What is a natural remedy that helps soothe throat inflammation in Saudi Arabia?,–,"Honey, orange, or lemon",Open-ended,Common,Food,English,,
What is referred to as the “mute doctor” in Saudi Arabia?,–,Black pepper,Open-ended,Common,Food,English,,
Is education in Saudi Arabia mixed between genders?,–,No,Open-ended,Common,celebration,English,,
Do Saudi university students receive a stipend?,–,"Yes, around 900–1000 SAR",Open-ended,Common,celebration,English,,
What is the hidden reason behind arguments between friends or family at the cashier in Saudi Arabia?,–,Because everyone wants to pay as an act of generosity,Open-ended,Common,celebration,English,,
Which traditional Saudi Arabian game involves the use of a hat and is commonly played in social gatherings?,A. Al-Sadu B. Tag Tag Taqia C. Fersha D. Al-Kattab,B. Tag Tag Taqia,MCQ single-choice,Common,entertainment,English,,
What is the name of the traditional Saudi game that mimics football?,A. Al-Sadu B. Fersha C. Al-Farfeera D. Tag Tagia,C. Al-Farfeera,MCQ single-choice,Common,entertainment,English,,
What is the name of the traditional Saudi activity involving hunting trips with trained birds such as falcons?,A. Al-Mahamel B. Al-Miqnas C. Al-Mirfaq D. Al-Marsad,B. Al-Miqnas,MCQ single-choice,Common,entertainment,English,,
"What is one of the names of the traditional Saudi game ""Al-Barbar""?",A. Umm Al-Khutoot B. Al-Dananeh C. Al-Ziqtah D. Al-Ghammah,A. Umm Al-Khutoot,MCQ single-choice,Common,entertainment,English,,
"What shape do players sit in during the game ""Tag Tag Tagia""?",A. Circle B. Square C. Rectangle D. Straight line,A. Circle,MCQ single-choice,Common,entertainment,English,,
"What activity is referred to as ""Al-Kashta"" in Saudi culture?",A. Desert trips B. Sea trips C. Mountain trips D. Urban excursions,A. Desert trips,MCQ single-choice,Common,entertainment,English,,
"What shape does the ""Taraha"" take in Saudi traditional play?",A. Square B. Rectangle C. Circle D. Triangle,B. Rectangle,MCQ single-choice,Common,entertainment,English,,
"What is the name of the traditional game played by girls aged 5–9, similar to jumping rope?",A. Qumrah Shabrah B. Al-Habl C. Al-Mal’aab D. Al-Dawrah,A. Qumrah Shabrah,MCQ single-choice,Common,entertainment,English,,
What is the traditional Saudi game that begins with a draw to decide who will jump over others?,A. Sabt Al-Suboot B. Azeem Sari C. Tug of War D. Tag Tag Tagia,A. Sabt Al-Suboot,MCQ single-choice,Common,entertainment,English,,
"How is the game ""Jakom Al-Theeb"" played in Saudi Arabia?",A. Players hide while one searches for them B. Players chant in a circle C. Players jump over obstacles D. Players catch a thrown object,A. Players hide while one searches for them,MCQ single-choice,Common,entertainment,English,,
"What determines the color of the ""Mishlah"" (traditional cloak) at official Saudi events?",A. The nature of the event B. The presence of the King or Crown Prince C. The location of the event D. The number of attendees,B. The presence of the King or Crown Prince,MCQ single-choice,Common,celebration,English,,
What is traditionally applied to the hands before weddings in some Saudi regions?,A. Henna B. Oud incense C. Scented oils D. Fragrant powders,A. Henna,MCQ single-choice,Common,celebration,English,,
What is the name of the small door within a large door used for entry without opening the entire door?,A. Bab Abu Khokha B. Bab Al-Masraf C. Bab Al-Qibla D. Bab Al-Safha,A. Bab Abu Khokha,MCQ single-choice,Common,Architecture,English,,
What is the name of the traditional Saudi window or wooden covering that extends outward?,A. Roshan B. Mashrabiya C. Qamariya D. Shubbak,A. Roshan,MCQ single-choice,Common,Architecture,English,,
What is the name of the traditional Saudi door made from a single panel of wooden planks?,A. Bab Bosaer B. Bab Al-Masraf C. Bab Al-Qibla D. Bab Al-Shurfa,A. Bab Bosaer,MCQ single-choice,Common,Architecture,English,,
"In which month does the traditional role of the ""Musaharati"" typically take place in Islamic culture?",A. Muharram B. Ramadan C. Shawwal D. Dhul-Hijjah,B. Ramadan,MCQ single-choice,Common,celebration,English,,
When is the Eid Al-Fitr prayer performed in the Islamic Hijri calendar?,A. The first day of Shawwal B. The last day of Ramadan C. The tenth of Dhul-Hijjah D. The fifteenth of Sha’ban,A. The first day of Shawwal,MCQ single-choice,Common,celebration,English,,
"What does the phrase ""Sammu"" mean in Saudi culture?","A. Say ""Bismillah"" (In the name of Allah) B. Welcome the guests C. Start the meal D. Enjoy your drink","A. Say ""Bismillah"" (In the name of Allah)",MCQ single-choice,Common,languages and communication,English,,
What is the night of marriage called in Saudi Arabia?,A. Wedding night B. Laylat Al-Dukhla C. Laylat Al-Zafaf D. Celebration night,B. Laylat Al-Dukhla,MCQ single-choice,Common,Dating,English,,
"What distinguishes ""Al-Mas’houb"" in Saudi folk poetry?",A. It is a poetic meter in Nabati poetry performed with a dragging tone B. It is always performed with traditional dance C. It requires the accompaniment of the Rababa instrument D. It is exclusively sung in desert regions,A & C,MCQ multi-choice,Common,entertainment,English,,
What is the primary characteristic of the poetic dialogue (Al-Muhawara) in Saudi Arabia?,A. It is a mental competition requiring quick poetic creativity B. It is limited to highly skilled poets due to its complexity C. It involves musical instruments D. The performers repeat the final poetic response,"A, B & D",MCQ multi-choice,Common,entertainment,English,,
How many points must one team score to win in the game of Baloot?,A. 152 points B. 200 points C. 100 points D. 120 points,A. 152 points,MCQ single-choice,Common,entertainment,English,,
"What preparations are made for birds in ""Al-Miqnas"" (hunting trips)?",A. Sharpening the bird's beak B. Trimming the bird's claws C. Cleaning the bird's feathers D. Training for long-distance flights,A & B,MCQ multi-choice,Common,entertainment,English,,
"When is the game ""Al-Dananeh"" typically played?",A. In the morning B. At night C. In the afternoon D. At sunset,B. At night,MCQ single-choice,Common,entertainment,English,,
What is the name of the traditional Saudi game that relies on intuition and quick wit?,A. Gleimait B. Keram C. Al-Sibba D. Dominoes,A. Gleimait,MCQ single-choice,Common,entertainment,English,,
"How many small stones and slots are used in the game ""Al-Huwaila""?",A. 28 stones and 13 slots B. 30 rocks and 15 slots C. 28 rocks and 15 slots D. 30 rocks and 13 slots,A. 28 stones and 13 slots,MCQ single-choice,Common,entertainment,English,,
"What is the ""Raya Al-Ardah Al-Saudia"" (Saudi Ardah Flag)?",A. A small flag carried by hand B. A large flag placed in the middle of performers during the Saudi Ardah C. A symbol hung on the wall D. A piece of cloth used as decoration,B. A large flag placed in the middle of performers,MCQ single-choice,Common,entertainment,English,,
"The palm tree is a significant symbol in Saudi culture, representing various values. Which of the following are true?",A. Blessing B. Generosity and giving C. Stability and pride D. None of the above,"A, B & C",MCQ multi-choice,Common,Crafts and work,English,,
Which of the following names are derived from the aesthetic significance of a long and well-shaped nose in Saudi cultural heritage?,A. Khushm Al-Bab (Door Nose) B. Khushm Al-Saif (Sword Nose) C. Khushm Al-Jabal (Mountain Nose) D. Khushm Al-Bahr (Sea Nose),A & B,MCQ multi-choice,Common,languages and communication,English,,
What are the names of parts of stone houses in Saudi Arabia?,A. Al-Ulou and Al-Misraa B. Al-Saih and Al-Qawa’i C. Al-Jahwa and Al-Musha D. None of the above,"A, B & C",MCQ multi-choice,Common,Architecture,English,,
"What are the traditional building methods used in constructing heritage houses, walls, and towers in Saudi Arabia?",A. Mudbrick construction (Al-Labin) B. Layered masonry (Al-Madameek) C. Wooden beam construction D. Clay-only construction,A & B,MCQ multi-choice,Common,Architecture,English,,
"Where is the traditional ""Bab Bosaer"" door commonly used in Saudi Arabia?",A. Internal doors for livestock enclosures B. Large courtyards C. Modern homes D. Heritage palaces,A & B,MCQ multi-choice,Common,Architecture,English,,
Which of the following are traditional Saudi palm frond crafts?,A. Water bottles B. Zanabeel (baskets) C. Storage boxes D. Makans (brooms),B & D,MCQ multi-choice,Common,Crafts and work,English,,
What are the main uses of gypsum in traditional Saudi construction?,A. Building and decoration B. Coating mud walls C. Covering ceilings D. All of the above,D. All of the above,MCQ multi-choice,Common,Crafts and work,English,,
